Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,1.0,Travel_Rarely,1141,Research & Development,11,2,Medical,1,1,Female,50.0 - 75.0,1,2,Healthcare Representative,2,Married,0.0 - 5000.0,13500.0 - 20249.0,5,Y,False,12.0 - 19.0,3,1,80,0,15,2,1,1,0,0,0
51,1.0,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1,Male,25.0 - 50.0,3,1,Research Scientist,3,Married,0.0 - 5000.0,6750.0 - 13500.0,9,Y,True,6.0 - 12.0,3,3,80,3,18,2,4,10,0,2,7
42,0.0,Travel_Frequently,555,Sales,26,3,Marketing,1,3,Female,75.0 - 100.0,3,4,Sales Executive,2,Married,10000.0 - 14999.0,13500.0 - 20249.0,5,Y,False,12.0 - 19.0,3,4,80,1,23,2,4,20,4,4,8
40,0.0,Travel_Rarely,1124,Sales,1,2,Medical,1,2,Male,50.0 - 75.0,1,2,Sales Executive,4,Married,5000.0 - 10000.0,6750.0 - 13500.0,2,Y,True,19.0 - 25.0,4,3,80,3,6,2,2,4,3,0,2
55,1.0,Travel_Rarely,725,Research & Development,2,3,Medical,1,4,Male,75.0 - 100.0,3,5,Manager,1,Married,14999.0 - 19999.0,20249.0 - 26999.0,5,Y,True,12.0 - 19.0,3,4,80,1,24,2,3,5,2,1,4
36,0.0,Travel_Frequently,635,Research & Development,18,1,Medical,1,2,Female,50.0 - 75.0,3,1,Laboratory Technician,4,Single,0.0 - 5000.0,6750.0 - 13500.0,1,Y,False,12.0 - 19.0,3,1,80,0,8,2,3,8,1,1,7
32,0.0,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,1,3,Female,25.0 - 50.0,3,3,Research Director,4,Single,10000.0 - 14999.0,13500.0 - 20249.0,3,Y,False,12.0 - 19.0,3,4,80,0,10,6,3,7,7,7,7
25,0.0,Travel_Rarely,583,Sales,4,1,Marketing,1,3,Male,75.0 - 100.0,2,2,Sales Executive,1,Married,0.0 - 5000.0,13500.0 - 20249.0,1,Y,False,6.0 - 12.0,3,1,80,0,5,1,4,5,2,0,3
20,1.0,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,1,Male,75.0 - 100.0,3,1,Laboratory Technician,1,Single,0.0 - 5000.0,6750.0 - 13500.0,1,Y,False,12.0 - 19.0,3,2,80,0,1,2,3,1,0,0,0
42,0.0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,1,Female,25.0 - 50.0,3,4,Research Director,4,Single,14999.0 - 19999.0,13500.0 - 20249.0,2,Y,False,12.0 - 19.0,3,2,80,0,16,2,3,1,0,0,0
31,0.0,Travel_Rarely,616,Research & Development,12,3,Medical,1,4,Female,25.0 - 50.0,3,2,Healthcare Representative,4,Married,5000.0 - 10000.0,13500.0 - 20249.0,0,Y,True,6.0 - 12.0,3,3,80,2,10,2,1,9,7,8,5
38,0.0,Non-Travel,573,Research & Development,6,3,Medical,1,2,Female,75.0 - 100.0,1,2,Research Scientist,4,Divorced,5000.0 - 10000.0,13500.0 - 20249.0,7,Y,True,6.0 - 12.0,3,4,80,3,17,3,3,13,11,1,9
39,0.0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,1,4,Female,75.0 - 100.0,2,2,Healthcare Representative,3,Single,0.0 - 5000.0,20249.0 - 26999.0,1,Y,False,6.0 - 12.0,3,1,80,0,20,4,3,20,7,11,10
54,0.0,Travel_Rarely,821,Research & Development,5,2,Medical,1,1,Male,75.0 - 100.0,3,5,Research Director,1,Married,14999.0 - 19999.0,6750.0 - 13500.0,4,Y,False,6.0 - 12.0,3,3,80,1,24,4,2,4,2,1,2
49,0.0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,1,Male,75.0 - 100.0,2,5,Manager,3,Married,14999.0 - 19999.0,6750.0 - 13500.0,2,Y,False,12.0 - 19.0,3,3,80,1,23,2,4,1,0,0,0
24,0.0,Travel_Rarely,691,Research & Development,23,3,Medical,1,2,Male,75.0 - 100.0,4,1,Research Scientist,4,Married,0.0 - 5000.0,20249.0 - 26999.0,1,Y,True,6.0 - 12.0,3,2,80,2,6,3,3,6,5,1,4
40,0.0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,2,Female,50.0 - 75.0,3,4,Manufacturing Director,3,Single,10000.0 - 14999.0,20249.0 - 26999.0,7,Y,False,12.0 - 19.0,3,3,80,0,22,3,3,20,6,5,13
41,0.0,Non-Travel,267,Sales,10,2,Life Sciences,1,4,Male,50.0 - 75.0,3,2,Sales Executive,4,Single,5000.0 - 10000.0,6750.0 - 13500.0,7,Y,False,12.0 - 19.0,3,4,80,0,16,3,3,14,3,1,10
32,0.0,Travel_Rarely,588,Sales,8,2,Technical Degree,1,3,Female,50.0 - 75.0,2,2,Sales Executive,2,Married,5000.0 - 10000.0,20249.0 - 26999.0,1,Y,True,6.0 - 12.0,3,4,80,0,13,2,3,13,12,11,9
24,1.0,Travel_Rarely,813,Research & Development,1,3,Medical,1,2,Male,50.0 - 75.0,3,1,Research Scientist,4,Married,0.0 - 5000.0,0.0 - 6750.0,2,Y,True,12.0 - 19.0,3,1,80,1,6,2,2,2,0,2,0
39,0.0,Travel_Rarely,412,Research & Development,13,4,Medical,1,3,Female,75.0 - 100.0,2,4,Manager,2,Divorced,14999.0 - 19999.0,13500.0 - 20249.0,6,Y,True,12.0 - 19.0,3,4,80,2,21,4,3,19,9,15,2
59,0.0,Travel_Rarely,818,Human Resources,6,2,Medical,1,2,Male,50.0 - 75.0,3,1,Human Resources,3,Married,0.0 - 5000.0,20249.0 - 26999.0,8,Y,False,12.0 - 19.0,3,4,80,0,7,2,2,2,2,2,2
36,0.0,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,1,3,Male,50.0 - 75.0,3,2,Healthcare Representative,4,Married,5000.0 - 10000.0,0.0 - 6750.0,0,Y,True,12.0 - 19.0,3,1,80,1,17,2,2,16,8,4,11
30,0.0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,1,3,Male,25.0 - 50.0,3,2,Laboratory Technician,3,Divorced,0.0 - 5000.0,6750.0 - 13500.0,1,Y,False,12.0 - 19.0,3,1,80,3,10,4,2,10,7,8,9
38,0.0,Travel_Rarely,433,Human Resources,1,3,Human Resources,1,3,Male,25.0 - 50.0,4,1,Human Resources,3,Married,0.0 - 5000.0,0.0 - 6750.0,1,Y,False,12.0 - 19.0,3,4,80,1,7,2,4,7,6,5,0
28,1.0,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,1,Male,75.0 - 100.0,3,1,Sales Representative,3,Married,0.0 - 5000.0,13500.0 - 20249.0,3,Y,False,12.0 - 19.0,3,4,80,1,5,3,4,3,2,1,2
31,0.0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,3,Male,25.0 - 50.0,3,1,Research Scientist,4,Divorced,0.0 - 5000.0,6750.0 - 13500.0,0,Y,True,12.0 - 19.0,3,2,80,1,3,2,1,2,2,2,2
